WKT
"POLYGON ((-73.743999999533756 41.462657255852839,-73.743666666045002 41.463234606391218,-73.742999999067507 41.463234606391218,-73.742666665578753 41.462657255852839,-73.742999999067507 41.462079905314461,-73.743666666045002 41.462079905314461,-73.743999999533756 41.462657255852839))"
"POLYGON ((-73.743999999533756 41.463811956929604,-73.743666666045002 41.464389307467982,-73.742999999067507 41.464389307467982,-73.742666665578753 41.463811956929604,-73.742999999067507 41.463234606391218,-73.743666666045002 41.463234606391218,-73.743999999533756 41.463811956929604))"
"POLYGON ((-73.743999999533756 41.464966658006361,-73.743666666045002 41.46554400854474,-73.742999999067507 41.46554400854474,-73.742666665578753 41.464966658006361,-73.742999999067507 41.464389307467982,-73.743666666045002 41.464389307467982,-73.743999999533756 41.464966658006361))"
"POLYGON ((-73.743999999533756 41.466121359083118,-73.743666666045002 41.466698709621504,-73.742999999067507 41.466698709621504,-73.742666665578753 41.466121359083118,-73.742999999067507 41.46554400854474,-73.743666666045002 41.46554400854474,-73.743999999533756 41.466121359083118))"
"POLYGON ((-73.743999999533756 41.467276060159882,-73.743666666045002 41.467853410698261,-73.742999999067507 41.467853410698261,-73.742666665578753 41.467276060159882,-73.742999999067507 41.466698709621504,-73.743666666045002 41.466698709621504,-73.743999999533756 41.467276060159882))"
"POLYGON ((-73.743999999533756 41.46843076123664,-73.743666666045002 41.469008111775018,-73.742999999067507 41.469008111775018,-73.742666665578753 41.46843076123664,-73.742999999067507 41.467853410698261,-73.743666666045002 41.467853410698261,-73.743999999533756 41.46843076123664))"
"POLYGON ((-73.743999999533756 41.469585462313404,-73.743666666045002 41.470162812851783,-73.742999999067507 41.470162812851783,-73.742666665578753 41.469585462313404,-73.742999999067507 41.469008111775018,-73.743666666045002 41.469008111775018,-73.743999999533756 41.469585462313404))"
"POLYGON ((-73.743999999533756 41.470740163390161,-73.743666666045002 41.47131751392854,-73.742999999067507 41.47131751392854,-73.742666665578753 41.470740163390161,-73.742999999067507 41.470162812851783,-73.743666666045002 41.470162812851783,-73.743999999533756 41.470740163390161))"
"POLYGON ((-73.743999999533756 41.471894864466918,-73.743666666045002 41.472472215005304,-73.742999999067507 41.472472215005304,-73.742666665578753 41.471894864466918,-73.742999999067507 41.47131751392854,-73.743666666045002 41.47131751392854,-73.743999999533756 41.471894864466918))"
"POLYGON ((-73.743999999533756 41.473049565543683,-73.743666666045002 41.473626916082061,-73.742999999067507 41.473626916082061,-73.742666665578753 41.473049565543683,-73.742999999067507 41.472472215005304,-73.743666666045002 41.472472215005304,-73.743999999533756 41.473049565543683))"
"POLYGON ((-73.743999999533756 41.47420426662044,-73.743666666045002 41.474781617158818,-73.742999999067507 41.474781617158818,-73.742666665578753 41.47420426662044,-73.742999999067507 41.473626916082061,-73.743666666045002 41.473626916082061,-73.743999999533756 41.47420426662044))"
"POLYGON ((-73.743999999533756 41.475358967697204,-73.743666666045002 41.475936318235583,-73.742999999067507 41.475936318235583,-73.742666665578753 41.475358967697204,-73.742999999067507 41.474781617158818,-73.743666666045002 41.474781617158818,-73.743999999533756 41.475358967697204))"
"POLYGON ((-73.743999999533756 41.476513668773961,-73.743666666045002 41.47709101931234,-73.742999999067507 41.47709101931234,-73.742666665578753 41.476513668773961,-73.742999999067507 41.475936318235583,-73.743666666045002 41.475936318235583,-73.743999999533756 41.476513668773961))"
"POLYGON ((-73.743999999533756 41.477668369850718,-73.743666666045002 41.478245720389097,-73.742999999067507 41.478245720389097,-73.742666665578753 41.477668369850718,-73.742999999067507 41.47709101931234,-73.743666666045002 41.47709101931234,-73.743999999533756 41.477668369850718))"
"POLYGON ((-73.743999999533756 41.478823070927483,-73.743666666045002 41.479400421465861,-73.742999999067507 41.479400421465861,-73.742666665578753 41.478823070927483,-73.742999999067507 41.478245720389097,-73.743666666045002 41.478245720389097,-73.743999999533756 41.478823070927483))"
"POLYGON ((-73.743999999533756 41.47997777200424,-73.743666666045002 41.480555122542619,-73.742999999067507 41.480555122542619,-73.742666665578753 41.47997777200424,-73.742999999067507 41.479400421465861,-73.743666666045002 41.479400421465861,-73.743999999533756 41.47997777200424))"
"POLYGON ((-73.743999999533756 41.481132473080997,-73.743666666045002 41.481709823619383,-73.742999999067507 41.481709823619383,-73.742666665578753 41.481132473080997,-73.742999999067507 41.480555122542619,-73.743666666045002 41.480555122542619,-73.743999999533756 41.481132473080997))"
"POLYGON ((-73.743999999533756 41.482287174157761,-73.743666666045002 41.48286452469614,-73.742999999067507 41.48286452469614,-73.742666665578753 41.482287174157761,-73.742999999067507 41.481709823619383,-73.743666666045002 41.481709823619383,-73.743999999533756 41.482287174157761))"
"POLYGON ((-73.743999999533756 41.483441875234519,-73.743666666045002 41.484019225772897,-73.742999999067507 41.484019225772897,-73.742666665578753 41.483441875234519,-73.742999999067507 41.48286452469614,-73.743666666045002 41.48286452469614,-73.743999999533756 41.483441875234519))"
"POLYGON ((-73.743999999533756 41.484596576311283,-73.743666666045002 41.485173926849662,-73.742999999067507 41.485173926849662,-73.742666665578753 41.484596576311283,-73.742999999067507 41.484019225772897,-73.743666666045002 41.484019225772897,-73.743999999533756 41.484596576311283))"
"POLYGON ((-73.743999999533756 41.48575127738804,-73.743666666045002 41.486328627926419,-73.742999999067507 41.486328627926419,-73.742666665578753 41.48575127738804,-73.742999999067507 41.485173926849662,-73.743666666045002 41.485173926849662,-73.743999999533756 41.48575127738804))"
"POLYGON ((-73.743999999533756 41.486905978464797,-73.743666666045002 41.487483329003183,-73.742999999067507 41.487483329003183,-73.742666665578753 41.486905978464797,-73.742999999067507 41.486328627926419,-73.743666666045002 41.486328627926419,-73.743999999533756 41.486905978464797))"
"POLYGON ((-73.743999999533756 41.488060679541562,-73.743666666045002 41.48863803007994,-73.742999999067507 41.48863803007994,-73.742666665578753 41.488060679541562,-73.742999999067507 41.487483329003183,-73.743666666045002 41.487483329003183,-73.743999999533756 41.488060679541562))"
"POLYGON ((-73.743999999533756 41.489215380618319,-73.743666666045002 41.489792731156697,-73.742999999067507 41.489792731156697,-73.742666665578753 41.489215380618319,-73.742999999067507 41.48863803007994,-73.743666666045002 41.48863803007994,-73.743999999533756 41.489215380618319))"
"POLYGON ((-73.743999999533756 41.490370081695083,-73.743666666045002 41.490947432233462,-73.742999999067507 41.490947432233462,-73.742666665578753 41.490370081695083,-73.742999999067507 41.489792731156697,-73.743666666045002 41.489792731156697,-73.743999999533756 41.490370081695083))"
"POLYGON ((-73.743999999533756 41.49152478277184,-73.743666666045002 41.492102133310219,-73.742999999067507 41.492102133310219,-73.742666665578753 41.49152478277184,-73.742999999067507 41.490947432233462,-73.743666666045002 41.490947432233462,-73.743999999533756 41.49152478277184))"
"POLYGON ((-73.743999999533756 41.492679483848597,-73.743666666045002 41.493256834386983,-73.742999999067507 41.493256834386983,-73.742666665578753 41.492679483848597,-73.742999999067507 41.492102133310219,-73.743666666045002 41.492102133310219,-73.743999999533756 41.492679483848597))"
"POLYGON ((-73.743999999533756 41.493834184925362,-73.743666666045002 41.49441153546374,-73.742999999067507 41.49441153546374,-73.742666665578753 41.493834184925362,-73.742999999067507 41.493256834386983,-73.743666666045002 41.493256834386983,-73.743999999533756 41.493834184925362))"
"POLYGON ((-73.743999999533756 41.494988886002119,-73.743666666045002 41.495566236540498,-73.742999999067507 41.495566236540498,-73.742666665578753 41.494988886002119,-73.742999999067507 41.49441153546374,-73.743666666045002 41.49441153546374,-73.743999999533756 41.494988886002119))"
"POLYGON ((-73.743999999533756 41.496143587078883,-73.743666666045002 41.496720937617262,-73.742999999067507 41.496720937617262,-73.742666665578753 41.496143587078883,-73.742999999067507 41.495566236540498,-73.743666666045002 41.495566236540498,-73.743999999533756 41.496143587078883))"
"POLYGON ((-73.743999999533756 41.49729828815564,-73.743666666045002 41.497875638694019,-73.742999999067507 41.497875638694019,-73.742666665578753 41.49729828815564,-73.742999999067507 41.496720937617262,-73.743666666045002 41.496720937617262,-73.743999999533756 41.49729828815564))"
"POLYGON ((-73.743999999533756 41.498452989232398,-73.743666666045002 41.499030339770783,-73.742999999067507 41.499030339770783,-73.742666665578753 41.498452989232398,-73.742999999067507 41.497875638694019,-73.743666666045002 41.497875638694019,-73.743999999533756 41.498452989232398))"
"POLYGON ((-73.743999999533756 41.499607690309162,-73.743666666045002 41.500185040847541,-73.742999999067507 41.500185040847541,-73.742666665578753 41.499607690309162,-73.742999999067507 41.499030339770783,-73.743666666045002 41.499030339770783,-73.743999999533756 41.499607690309162))"
"POLYGON ((-73.743999999533756 41.500762391385919,-73.743666666045002 41.501339741924298,-73.742999999067507 41.501339741924298,-73.742666665578753 41.500762391385919,-73.742999999067507 41.500185040847541,-73.743666666045002 41.500185040847541,-73.743999999533756 41.500762391385919))"
"POLYGON ((-73.743999999533756 41.501917092462683,-73.743666666045002 41.502494443001062,-73.742999999067507 41.502494443001062,-73.742666665578753 41.501917092462683,-73.742999999067507 41.501339741924298,-73.743666666045002 41.501339741924298,-73.743999999533756 41.501917092462683))"
"POLYGON ((-73.743999999533756 41.503071793539441,-73.743666666045002 41.503649144077819,-73.742999999067507 41.503649144077819,-73.742666665578753 41.503071793539441,-73.742999999067507 41.502494443001062,-73.743666666045002 41.502494443001062,-73.743999999533756 41.503071793539441))"
"POLYGON ((-73.743999999533756 41.504226494616198,-73.743666666045002 41.504803845154584,-73.742999999067507 41.504803845154584,-73.742666665578753 41.504226494616198,-73.742999999067507 41.503649144077819,-73.743666666045002 41.503649144077819,-73.743999999533756 41.504226494616198))"
"POLYGON ((-73.743999999533756 41.505381195692962,-73.743666666045002 41.505958546231341,-73.742999999067507 41.505958546231341,-73.742666665578753 41.505381195692962,-73.742999999067507 41.504803845154584,-73.743666666045002 41.504803845154584,-73.743999999533756 41.505381195692962))"
"POLYGON ((-73.743999999533756 41.506535896769719,-73.743666666045002 41.507113247308098,-73.742999999067507 41.507113247308098,-73.742666665578753 41.506535896769719,-73.742999999067507 41.505958546231341,-73.743666666045002 41.505958546231341,-73.743999999533756 41.506535896769719))"
"POLYGON ((-73.743999999533756 41.507690597846484,-73.743666666045002 41.508267948384862,-73.742999999067507 41.508267948384862,-73.742666665578753 41.507690597846484,-73.742999999067507 41.507113247308098,-73.743666666045002 41.507113247308098,-73.743999999533756 41.507690597846484))"
"POLYGON ((-73.743999999533756 41.508845298923241,-73.743666666045002 41.509422649461619,-73.742999999067507 41.509422649461619,-73.742666665578753 41.508845298923241,-73.742999999067507 41.508267948384862,-73.743666666045002 41.508267948384862,-73.743999999533756 41.508845298923241))"
"POLYGON ((-73.743999999533756 41.51,-73.743666666045002 41.510577350538384,-73.742999999067507 41.510577350538384,-73.742666665578753 41.51,-73.742999999067507 41.509422649461619,-73.743666666045002 41.509422649461619,-73.743999999533756 41.51))"
"POLYGON ((-73.743999999533756 41.511154701076762,-73.743666666045002 41.511732051615141,-73.742999999067507 41.511732051615141,-73.742666665578753 41.511154701076762,-73.742999999067507 41.510577350538384,-73.743666666045002 41.510577350538384,-73.743999999533756 41.511154701076762))"
"POLYGON ((-73.743999999533756 41.512309402153519,-73.743666666045002 41.512886752691898,-73.742999999067507 41.512886752691898,-73.742666665578753 41.512309402153519,-73.742999999067507 41.511732051615141,-73.743666666045002 41.511732051615141,-73.743999999533756 41.512309402153519))"
"POLYGON ((-73.743999999533756 41.513464103230284,-73.743666666045002 41.514041453768662,-73.742999999067507 41.514041453768662,-73.742666665578753 41.513464103230284,-73.742999999067507 41.512886752691898,-73.743666666045002 41.512886752691898,-73.743999999533756 41.513464103230284))"
"POLYGON ((-73.743999999533756 41.514618804307041,-73.743666666045002 41.51519615484542,-73.742999999067507 41.51519615484542,-73.742666665578753 41.514618804307041,-73.742999999067507 41.514041453768662,-73.743666666045002 41.514041453768662,-73.743999999533756 41.514618804307041))"
"POLYGON ((-73.743999999533756 41.515773505383798,-73.743666666045002 41.516350855922184,-73.742999999067507 41.516350855922184,-73.742666665578753 41.515773505383798,-73.742999999067507 41.51519615484542,-73.743666666045002 41.51519615484542,-73.743999999533756 41.515773505383798))"
"POLYGON ((-73.743999999533756 41.516928206460562,-73.743666666045002 41.517505556998941,-73.742999999067507 41.517505556998941,-73.742666665578753 41.516928206460562,-73.742999999067507 41.516350855922184,-73.743666666045002 41.516350855922184,-73.743999999533756 41.516928206460562))"
"POLYGON ((-73.743999999533756 41.51808290753732,-73.743666666045002 41.518660258075698,-73.742999999067507 41.518660258075698,-73.742666665578753 41.51808290753732,-73.742999999067507 41.517505556998941,-73.743666666045002 41.517505556998941,-73.743999999533756 41.51808290753732))"
"POLYGON ((-73.743999999533756 41.519237608614084,-73.743666666045002 41.519814959152463,-73.742999999067507 41.519814959152463,-73.742666665578753 41.519237608614084,-73.742999999067507 41.518660258075698,-73.743666666045002 41.518660258075698,-73.743999999533756 41.519237608614084))"
"POLYGON ((-73.743999999533756 41.520392309690841,-73.743666666045002 41.52096966022922,-73.742999999067507 41.52096966022922,-73.742666665578753 41.520392309690841,-73.742999999067507 41.519814959152463,-73.743666666045002 41.519814959152463,-73.743999999533756 41.520392309690841))"
"POLYGON ((-73.743999999533756 41.521547010767598,-73.743666666045002 41.522124361305984,-73.742999999067507 41.522124361305984,-73.742666665578753 41.521547010767598,-73.742999999067507 41.52096966022922,-73.743666666045002 41.52096966022922,-73.743999999533756 41.521547010767598))"
"POLYGON ((-73.743999999533756 41.522701711844363,-73.743666666045002 41.523279062382741,-73.742999999067507 41.523279062382741,-73.742666665578753 41.522701711844363,-73.742999999067507 41.522124361305984,-73.743666666045002 41.522124361305984,-73.743999999533756 41.522701711844363))"
"POLYGON ((-73.743999999533756 41.52385641292112,-73.743666666045002 41.524433763459498,-73.742999999067507 41.524433763459498,-73.742666665578753 41.52385641292112,-73.742999999067507 41.523279062382741,-73.743666666045002 41.523279062382741,-73.743999999533756 41.52385641292112))"
"POLYGON ((-73.743999999533756 41.525011113997877,-73.743666666045002 41.525588464536263,-73.742999999067507 41.525588464536263,-73.742666665578753 41.525011113997877,-73.742999999067507 41.524433763459498,-73.743666666045002 41.524433763459498,-73.743999999533756 41.525011113997877))"
"POLYGON ((-73.743999999533756 41.526165815074641,-73.743666666045002 41.52674316561302,-73.742999999067507 41.52674316561302,-73.742666665578753 41.526165815074641,-73.742999999067507 41.525588464536263,-73.743666666045002 41.525588464536263,-73.743999999533756 41.526165815074641))"
"POLYGON ((-73.743999999533756 41.527320516151399,-73.743666666045002 41.527897866689777,-73.742999999067507 41.527897866689777,-73.742666665578753 41.527320516151399,-73.742999999067507 41.52674316561302,-73.743666666045002 41.52674316561302,-73.743999999533756 41.527320516151399))"
"POLYGON ((-73.743999999533756 41.528475217228163,-73.743666666045002 41.529052567766541,-73.742999999067507 41.529052567766541,-73.742666665578753 41.528475217228163,-73.742999999067507 41.527897866689777,-73.743666666045002 41.527897866689777,-73.743999999533756 41.528475217228163))"
"POLYGON ((-73.743999999533756 41.52962991830492,-73.743666666045002 41.530207268843299,-73.742999999067507 41.530207268843299,-73.742666665578753 41.52962991830492,-73.742999999067507 41.529052567766541,-73.743666666045002 41.529052567766541,-73.743999999533756 41.52962991830492))"
"POLYGON ((-73.743999999533756 41.530784619381677,-73.743666666045002 41.531361969920063,-73.742999999067507 41.531361969920063,-73.742666665578753 41.530784619381677,-73.742999999067507 41.530207268843299,-73.743666666045002 41.530207268843299,-73.743999999533756 41.530784619381677))"
"POLYGON ((-73.743999999533756 41.531939320458442,-73.743666666045002 41.53251667099682,-73.742999999067507 41.53251667099682,-73.742666665578753 41.531939320458442,-73.742999999067507 41.531361969920063,-73.743666666045002 41.531361969920063,-73.743999999533756 41.531939320458442))"
"POLYGON ((-73.743999999533756 41.533094021535199,-73.743666666045002 41.533671372073577,-73.742999999067507 41.533671372073577,-73.742666665578753 41.533094021535199,-73.742999999067507 41.53251667099682,-73.743666666045002 41.53251667099682,-73.743999999533756 41.533094021535199))"
"POLYGON ((-73.743999999533756 41.534248722611963,-73.743666666045002 41.534826073150342,-73.742999999067507 41.534826073150342,-73.742666665578753 41.534248722611963,-73.742999999067507 41.533671372073577,-73.743666666045002 41.533671372073577,-73.743999999533756 41.534248722611963))"
"POLYGON ((-73.743999999533756 41.53540342368872,-73.743666666045002 41.535980774227099,-73.742999999067507 41.535980774227099,-73.742666665578753 41.53540342368872,-73.742999999067507 41.534826073150342,-73.743666666045002 41.534826073150342,-73.743999999533756 41.53540342368872))"
"POLYGON ((-73.743999999533756 41.536558124765477,-73.743666666045002 41.537135475303863,-73.742999999067507 41.537135475303863,-73.742666665578753 41.536558124765477,-73.742999999067507 41.535980774227099,-73.743666666045002 41.535980774227099,-73.743999999533756 41.536558124765477))"
"POLYGON ((-73.743999999533756 41.537712825842242,-73.743666666045002 41.53829017638062,-73.742999999067507 41.53829017638062,-73.742666665578753 41.537712825842242,-73.742999999067507 41.537135475303863,-73.743666666045002 41.537135475303863,-73.743999999533756 41.537712825842242))"
"POLYGON ((-73.743999999533756 41.538867526918999,-73.743666666045002 41.539444877457377,-73.742999999067507 41.539444877457377,-73.742666665578753 41.538867526918999,-73.742999999067507 41.53829017638062,-73.743666666045002 41.53829017638062,-73.743999999533756 41.538867526918999))"
"POLYGON ((-73.743999999533756 41.540022227995763,-73.743666666045002 41.540599578534142,-73.742999999067507 41.540599578534142,-73.742666665578753 41.540022227995763,-73.742999999067507 41.539444877457377,-73.743666666045002 41.539444877457377,-73.743999999533756 41.540022227995763))"
"POLYGON ((-73.743999999533756 41.54117692907252,-73.743666666045002 41.541754279610899,-73.742999999067507 41.541754279610899,-73.742666665578753 41.54117692907252,-73.742999999067507 41.540599578534142,-73.743666666045002 41.540599578534142,-73.743999999533756 41.54117692907252))"
"POLYGON ((-73.743999999533756 41.542331630149278,-73.743666666045002 41.542908980687663,-73.742999999067507 41.542908980687663,-73.742666665578753 41.542331630149278,-73.742999999067507 41.541754279610899,-73.743666666045002 41.541754279610899,-73.743999999533756 41.542331630149278))"
"POLYGON ((-73.743999999533756 41.543486331226042,-73.743666666045002 41.54406368176442,-73.742999999067507 41.54406368176442,-73.742666665578753 41.543486331226042,-73.742999999067507 41.542908980687663,-73.743666666045002 41.542908980687663,-73.743999999533756 41.543486331226042))"
"POLYGON ((-73.743999999533756 41.544641032302799,-73.743666666045002 41.545218382841178,-73.742999999067507 41.545218382841178,-73.742666665578753 41.544641032302799,-73.742999999067507 41.54406368176442,-73.743666666045002 41.54406368176442,-73.743999999533756 41.544641032302799))"
"POLYGON ((-73.743999999533756 41.545795733379563,-73.743666666045002 41.546373083917942,-73.742999999067507 41.546373083917942,-73.742666665578753 41.545795733379563,-73.742999999067507 41.545218382841178,-73.743666666045002 41.545218382841178,-73.743999999533756 41.545795733379563))"
"POLYGON ((-73.743999999533756 41.546950434456321,-73.743666666045002 41.547527784994699,-73.742999999067507 41.547527784994699,-73.742666665578753 41.546950434456321,-73.742999999067507 41.546373083917942,-73.743666666045002 41.546373083917942,-73.743999999533756 41.546950434456321))"
"POLYGON ((-73.743999999533756 41.548105135533078,-73.743666666045002 41.548682486071463,-73.742999999067507 41.548682486071463,-73.742666665578753 41.548105135533078,-73.742999999067507 41.547527784994699,-73.743666666045002 41.547527784994699,-73.743999999533756 41.548105135533078))"
"POLYGON ((-73.743999999533756 41.549259836609842,-73.743666666045002 41.549837187148221,-73.742999999067507 41.549837187148221,-73.742666665578753 41.549259836609842,-73.742999999067507 41.548682486071463,-73.743666666045002 41.548682486071463,-73.743999999533756 41.549259836609842))"
"POLYGON ((-73.743999999533756 41.550414537686599,-73.743666666045002 41.550991888224978,-73.742999999067507 41.550991888224978,-73.742666665578753 41.550414537686599,-73.742999999067507 41.549837187148221,-73.743666666045002 41.549837187148221,-73.743999999533756 41.550414537686599))"
"POLYGON ((-73.743999999533756 41.551569238763364,-73.743666666045002 41.552146589301742,-73.742999999067507 41.552146589301742,-73.742666665578753 41.551569238763364,-73.742999999067507 41.550991888224978,-73.743666666045002 41.550991888224978,-73.743999999533756 41.551569238763364))"
"POLYGON ((-73.743999999533756 41.552723939840121,-73.743666666045002 41.553301290378499,-73.742999999067507 41.553301290378499,-73.742666665578753 41.552723939840121,-73.742999999067507 41.552146589301742,-73.743666666045002 41.552146589301742,-73.743999999533756 41.552723939840121))"
"POLYGON ((-73.743999999533756 41.553878640916878,-73.743666666045002 41.554455991455264,-73.742999999067507 41.554455991455264,-73.742666665578753 41.553878640916878,-73.742999999067507 41.553301290378499,-73.743666666045002 41.553301290378499,-73.743999999533756 41.553878640916878))"
"POLYGON ((-73.743999999533756 41.555033341993642,-73.743666666045002 41.555610692532021,-73.742999999067507 41.555610692532021,-73.742666665578753 41.555033341993642,-73.742999999067507 41.554455991455264,-73.743666666045002 41.554455991455264,-73.743999999533756 41.555033341993642))"
"POLYGON ((-73.743999999533756 41.556188043070399,-73.743666666045002 41.556765393608778,-73.742999999067507 41.556765393608778,-73.742666665578753 41.556188043070399,-73.742999999067507 41.555610692532021,-73.743666666045002 41.555610692532021,-73.743999999533756 41.556188043070399))"
"POLYGON ((-73.743999999533756 41.557342744147164,-73.743666666045002 41.557920094685542,-73.742999999067507 41.557920094685542,-73.742666665578753 41.557342744147164,-73.742999999067507 41.556765393608778,-73.743666666045002 41.556765393608778,-73.743999999533756 41.557342744147164))"
"POLYGON ((-73.743999999533756 41.558497445223921,-73.743666666045002 41.559074795762299,-73.742999999067507 41.559074795762299,-73.742666665578753 41.558497445223921,-73.742999999067507 41.557920094685542,-73.743666666045002 41.557920094685542,-73.743999999533756 41.558497445223921))"
"POLYGON ((-73.743999999533756 41.559652146300678,-73.743666666045002 41.560229496839064,-73.742999999067507 41.560229496839064,-73.742666665578753 41.559652146300678,-73.742999999067507 41.559074795762299,-73.743666666045002 41.559074795762299,-73.743999999533756 41.559652146300678))"
"POLYGON ((-73.743999999533756 41.560806847377442,-73.743666666045002 41.561384197915821,-73.742999999067507 41.561384197915821,-73.742666665578753 41.560806847377442,-73.742999999067507 41.560229496839064,-73.743666666045002 41.560229496839064,-73.743999999533756 41.560806847377442))"
"POLYGON ((-73.743999999533756 41.5619615484542,-73.743666666045002 41.562538898992578,-73.742999999067507 41.562538898992578,-73.742666665578753 41.5619615484542,-73.742999999067507 41.561384197915821,-73.743666666045002 41.561384197915821,-73.743999999533756 41.5619615484542))"
"POLYGON ((-73.743999999533756 41.563116249530964,-73.743666666045002 41.563693600069342,-73.742999999067507 41.563693600069342,-73.742666665578753 41.563116249530964,-73.742999999067507 41.562538898992578,-73.743666666045002 41.562538898992578,-73.743999999533756 41.563116249530964))"
"POLYGON ((-73.743999999533756 41.564270950607721,-73.743666666045002 41.5648483011461,-73.742999999067507 41.5648483011461,-73.742666665578753 41.564270950607721,-73.742999999067507 41.563693600069342,-73.743666666045002 41.563693600069342,-73.743999999533756 41.564270950607721))"
"POLYGON ((-73.743999999533756 41.565425651684478,-73.743666666045002 41.566003002222864,-73.742999999067507 41.566003002222864,-73.742666665578753 41.565425651684478,-73.742999999067507 41.5648483011461,-73.743666666045002 41.5648483011461,-73.743999999533756 41.565425651684478))"
"POLYGON ((-73.743999999533756 41.566580352761243,-73.743666666045002 41.567157703299621,-73.742999999067507 41.567157703299621,-73.742666665578753 41.566580352761243,-73.742999999067507 41.566003002222864,-73.743666666045002 41.566003002222864,-73.743999999533756 41.566580352761243))"
"POLYGON ((-73.743999999533756 41.567735053838,-73.743666666045002 41.568312404376378,-73.742999999067507 41.568312404376378,-73.742666665578753 41.567735053838,-73.742999999067507 41.567157703299621,-73.743666666045002 41.567157703299621,-73.743999999533756 41.567735053838))"
"POLYGON ((-73.743999999533756 41.568889754914764,-73.743666666045002 41.569467105453143,-73.742999999067507 41.569467105453143,-73.742666665578753 41.568889754914764,-73.742999999067507 41.568312404376378,-73.743666666045002 41.568312404376378,-73.743999999533756 41.568889754914764))"
"POLYGON ((-73.743999999533756 41.570044455991521,-73.743666666045002 41.5706218065299,-73.742999999067507 41.5706218065299,-73.742666665578753 41.570044455991521,-73.742999999067507 41.569467105453143,-73.743666666045002 41.569467105453143,-73.743999999533756 41.570044455991521))"
"POLYGON ((-73.743999999533756 41.571199157068278,-73.743666666045002 41.571776507606657,-73.742999999067507 41.571776507606657,-73.742666665578753 41.571199157068278,-73.742999999067507 41.5706218065299,-73.743666666045002 41.5706218065299,-73.743999999533756 41.571199157068278))"
"POLYGON ((-73.743999999533756 41.572353858145043,-73.743666666045002 41.572931208683421,-73.742999999067507 41.572931208683421,-73.742666665578753 41.572353858145043,-73.742999999067507 41.571776507606657,-73.743666666045002 41.571776507606657,-73.743999999533756 41.572353858145043))"
"POLYGON ((-73.743999999533756 41.5735085592218,-73.743666666045002 41.574085909760178,-73.742999999067507 41.574085909760178,-73.742666665578753 41.5735085592218,-73.742999999067507 41.572931208683421,-73.743666666045002 41.572931208683421,-73.743999999533756 41.5735085592218))"
"POLYGON ((-73.743999999533756 41.574663260298557,-73.743666666045002 41.575240610836943,-73.742999999067507 41.575240610836943,-73.742666665578753 41.574663260298557,-73.742999999067507 41.574085909760178,-73.743666666045002 41.574085909760178,-73.743999999533756 41.574663260298557))"
"POLYGON ((-73.743999999533756 41.575817961375321,-73.743666666045002 41.5763953119137,-73.742999999067507 41.5763953119137,-73.742666665578753 41.575817961375321,-73.742999999067507 41.575240610836943,-73.743666666045002 41.575240610836943,-73.743999999533756 41.575817961375321))"
"POLYGON ((-73.743999999533756 41.576972662452079,-73.743666666045002 41.577550012990457,-73.742999999067507 41.577550012990457,-73.742666665578753 41.576972662452079,-73.742999999067507 41.5763953119137,-73.743666666045002 41.5763953119137,-73.743999999533756 41.576972662452079))"
"POLYGON ((-73.743999999533756 41.578127363528843,-73.743666666045002 41.578704714067221,-73.742999999067507 41.578704714067221,-73.742666665578753 41.578127363528843,-73.742999999067507 41.577550012990457,-73.743666666045002 41.577550012990457,-73.743999999533756 41.578127363528843))"
"POLYGON ((-73.743999999533756 41.5792820646056,-73.743666666045002 41.579859415143979,-73.742999999067507 41.579859415143979,-73.742666665578753 41.5792820646056,-73.742999999067507 41.578704714067221,-73.743666666045002 41.578704714067221,-73.743999999533756 41.5792820646056))"
"POLYGON ((-73.743999999533756 41.580436765682357,-73.743666666045002 41.581014116220743,-73.742999999067507 41.581014116220743,-73.742666665578753 41.580436765682357,-73.742999999067507 41.579859415143979,-73.743666666045002 41.579859415143979,-73.743999999533756 41.580436765682357))"
"POLYGON ((-73.743999999533756 41.581591466759122,-73.743666666045002 41.5821688172975,-73.742999999067507 41.5821688172975,-73.742666665578753 41.581591466759122,-73.742999999067507 41.581014116220743,-73.743666666045002 41.581014116220743,-73.743999999533756 41.581591466759122))"
"POLYGON ((-73.743999999533756 41.582746167835879,-73.743666666045002 41.583323518374257,-73.742999999067507 41.583323518374257,-73.742666665578753 41.582746167835879,-73.742999999067507 41.5821688172975,-73.743666666045002 41.5821688172975,-73.743999999533756 41.582746167835879))"
"POLYGON ((-73.743999999533756 41.583900868912643,-73.743666666045002 41.584478219451022,-73.742999999067507 41.584478219451022,-73.742666665578753 41.583900868912643,-73.742999999067507 41.583323518374257,-73.743666666045002 41.583323518374257,-73.743999999533756 41.583900868912643))"
"POLYGON ((-73.743999999533756 41.5850555699894,-73.743666666045002 41.585632920527779,-73.742999999067507 41.585632920527779,-73.742666665578753 41.5850555699894,-73.742999999067507 41.584478219451022,-73.743666666045002 41.584478219451022,-73.743999999533756 41.5850555699894))"
"POLYGON ((-73.743999999533756 41.586210271066157,-73.743666666045002 41.586787621604543,-73.742999999067507 41.586787621604543,-73.742666665578753 41.586210271066157,-73.742999999067507 41.585632920527779,-73.743666666045002 41.585632920527779,-73.743999999533756 41.586210271066157))"
